product_id,title,description
google-cloud-vision,google-cloud-vision,Google Cloud Vision API client library
imdbpy,IMDbPY,IMDbPY is now cinemagoer
cinemagoer,cinemagoer,Python package to access the IMDb's database
vcrpy,vcrpy,Automatically mock your HTTP interactions to simplify and speed up testing
google-cloud-videointelligence,google-cloud-videointelligence,Google Cloud Videointelligence API client library
pyrogram,Pyrogram,"Elegant, modern and asynchronous Telegram MTProto API framework in Python for users and bots"
google-cloud-resource-manager,google-cloud-resource-manager,Google Cloud Resource Manager API client library
atlassian-python-api,atlassian-python-api,Python Atlassian REST API Wrapper
google-cloud-recommendations-ai,google-cloud-recommendations-ai,Google Cloud Recommendations Ai API client library
hstspreload,hstspreload,Chromium HSTS Preload list as a Python package
discord-py-slash-command,discord-py-slash-command,"Easy, simple, scalable and modular: a Python API wrapper for interactions."
google-cloud-aiplatform,google-cloud-aiplatform,Vertex AI API client library
whitenoise,whitenoise,Radically simplified static file serving for WSGI applications
google-cloud-dataproc,google-cloud-dataproc,Google Cloud Dataproc API client library
pyramid,pyramid,"The Pyramid Web Framework, a Pylons project"
scrapy,Scrapy,A high-level Web Crawling and Web Scraping framework
google-cloud-kms,google-cloud-kms,Google Cloud Kms API client library
aws-sam-cli,aws-sam-cli,AWS SAM CLI is a CLI tool for local development and testing of Serverless applications
cssselect2,cssselect2,CSS selectors for Python ElementTree
pycurl,pycurl,PycURL -- A Python Interface To The cURL library
cheroot,cheroot,"Highly-optimized, pure-python HTTP server"
google-cloud-translate,google-cloud-translate,Google Cloud Translate API client library
tgcrypto,TgCrypto,Fast and Portable Cryptography Extension Library for Pyrogram
marshmallow-dataclass,marshmallow-dataclass,Python library to convert dataclasses into marshmallow schemas.
google-cloud-datacatalog,google-cloud-datacatalog,Google Cloud Datacatalog API client library
dj-database-url,dj-database-url,Use Database URLs in your Django Application.
autobahn,autobahn,"WebSocket client & server library, WAMP real-time framework"
eventlet,eventlet,Highly concurrent networking library
google-cloud-trace,google-cloud-trace,Google Cloud Trace API client library
djangorestframework-simplejwt,djangorestframework-simplejwt,A minimal JSON Web Token authentication plugin for Django REST Framework
flask-bcrypt,Flask-Bcrypt,Brcrypt hashing for Flask.
pymdown-extensions,pymdown-extensions,Extension pack for Python Markdown.
office365-rest-python-client,Office365-REST-Python-Client,Microsoft 365 & Microsoft Graph Library for Python
google-cloud-tasks,google-cloud-tasks,Google Cloud Tasks API client library
paho-mqtt,paho-mqtt,MQTT version 5.0/3.1.1 client class
python-telegram-bot,python-telegram-bot,We have made you a wrapper you can't refuse
itemadapter,itemadapter,Common interface for data container classes
python-ldap,python-ldap,Python modules for implementing LDAP clients
mkdocs-material-extensions,mkdocs-material-extensions,Extension pack for Python Markdown and MkDocs Material.
django-crispy-forms,django-crispy-forms,Best way to have Django DRY forms
playwright,playwright,A high-level API to automate web browsers
dbutils,DBUtils,Database connections for multi-threaded environments.
social-auth-core,social-auth-core,Python social authentication made simple.
weasyprint,weasyprint,The Awesome Document Factory
webargs,webargs,"Declarative parsing and validation of HTTP request objects, with built-in support for popular web frameworks, including Flask, Django, Bottle, Tornado, Pyramid, Falcon, and aiohttp."
google-cloud-container,google-cloud-container,Google Cloud Container API client library
asyncssh,asyncssh,AsyncSSH: Asynchronous SSHv2 client and server library
drf-spectacular,drf-spectacular,Sane and flexible OpenAPI 3 schema generation for Django REST framework
google-cloud-speech,google-cloud-speech,Google Cloud Speech API client library
dominate,dominate,Dominate is a Python library for creating and manipulating HTML documents using an elegant DOM API.
rq,rq,"RQ is a simple, lightweight, library for creating background jobs, and processing them."
social-auth-app-django,social-auth-app-django,"Python Social Authentication, Django integration."
google-cloud-bigquery-datatransfer,google-cloud-bigquery-datatransfer,Google Cloud Bigquery Datatransfer API client library
django-phonenumber-field,django-phonenumber-field,An international phone number field for django models.
aws-lambda-builders,aws-lambda-builders,"Python library to compile, build & package AWS Lambda functions for several runtimes & frameworks."
httpretty,httpretty,HTTP client mock for Python
django-allauth,django-allauth,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication."
webtest,WebTest,Helper to test WSGI applications
django-js-asset,django-js-asset,script tag with additional attributes for django.forms.Media
google-cloud-texttospeech,google-cloud-texttospeech,Google Cloud Texttospeech API client library
falcon,falcon,"The ultra-reliable, fast ASGI+WSGI framework for building data plane APIs at scale."
channels,channels,"Brings async, event-driven capabilities to Django."
google-cloud-error-reporting,google-cloud-error-reporting,Google Cloud Error Reporting API client library
pamqp,pamqp,RabbitMQ Focused AMQP low-level library
cloudscraper,cloudscraper,A Python module to bypass Cloudflare's anti-bot page.
daphne,daphne,Django ASGI (HTTP/WebSocket) server
pytube,pytube,Python 3 library for downloading YouTube Videos.
instana,instana,Python Distributed Tracing & Metrics Sensor for Instana.
google-cloud-automl,google-cloud-automl,Google Cloud Automl API client library
google-cloud-workflows,google-cloud-workflows,Google Cloud Workflows API client library
google-cloud-redis,google-cloud-redis,Google Cloud Redis API client library
ipfshttpclient,ipfshttpclient,Python IPFS HTTP CLIENT library
google-cloud-memcache,google-cloud-memcache,Google Cloud Memcache API client library
google-cloud-os-login,google-cloud-os-login,Google Cloud Os Login API client library
scrapyd-client,scrapyd-client,A client for Scrapyd
nextcord,nextcord,A Python wrapper for the Discord API forked from discord.py
google-cloud-build,google-cloud-build,Google Cloud Build API client library
wavelink,wavelink,"A robust and powerful, fully asynchronous Lavalink wrapper built for discord.py in Python."
rjsmin,rjsmin,Javascript Minifier
rcssmin,rcssmin,CSS Minifier
google-cloud-dataflow-client,google-cloud-dataflow-client,Google Cloud Dataflow Client API client library
createsend,createsend,A library which implements the complete functionality of the Campaign Monitor API.
hypercorn,Hypercorn,A ASGI Server based on Hyper libraries and inspired by Gunicorn
django-oauth-toolkit,django-oauth-toolkit,OAuth2 Provider for Django
jishaku,jishaku,A discord.py extension including useful tools for bot development and debugging.
aio-pika,aio-pika,Wrapper around the aiormq for asyncio and humans
jinja2,Jinja2,A very fast and expressive template engine.
markupsafe,MarkupSafe,Safely add untrusted strings to HTML/XML markup.
werkzeug,Werkzeug,The comprehensive WSGI web application library.
flask,Flask,A simple framework for building complex web applications.
discord,discord,A mirror package for discord.py. Please install that instead.
uritemplate,uritemplate,Implementation of RFC 6570 URI Templates
webencodings,webencodings,Character encoding aliases for legacy web content
google-auth-httplib2,google-auth-httplib2,Google Authentication Library: httplib2 transport
oauth2client,oauth2client,OAuth 2.0 client library
commonmark,commonmark,Python parser for the CommonMark Markdown spec
boto,boto,Amazon Web Services Library
retrying,retrying,Retrying
flask-cors,flask-cors,A Flask extension simplifying CORS support
xlwt,xlwt,"Library to create spreadsheet files compatible with MS Excel 97/2000/XP/2003 XLS files, on any platform, with Python 2.6, 2.7, 3.3+"
flask-sqlalchemy,Flask-SQLAlchemy,Add SQLAlchemy support to your Flask application.
simple-salesforce,simple-salesforce,A basic Salesforce.com REST API client.
ndg-httpsclient,ndg-httpsclient,Provides enhanced HTTPS support for httplib and urllib2 using PyOpenSSL
googlemaps,googlemaps,Python client library for Google Maps Platform
flask-login,Flask-Login,User authentication and session management for Flask.
scp,scp,scp module for paramiko
netaddr,netaddr,A network address manipulation library for Python
wtforms,WTForms,Form validation and rendering for Python web development.
validators,validators,Python Data Validation for Humans™
curlify,curlify,Convert Requests request objects to curl commands.
webob,WebOb,WSGI request and response object
user-agents,user-agents,"A library to identify devices (phones, tablets) and their capabilities by parsing browser user agent strings."
python3-openid,python3-openid,OpenID support for modern servers and consumers.
google-cloud,google-cloud,API Client library for Google Cloud
google-cloud-monitoring,google-cloud-monitoring,Google Cloud Monitoring API client library
pyrfc3339,pyRFC3339,Generate and parse RFC 3339 timestamps
flask-session,Flask-Session,Server-side session support for Flask
bottle,bottle,Fast and simple WSGI-framework for small web-applications.
coreapi,coreapi,Python client library for Core API.
itypes,itypes,Simple immutable types for python.
coreschema,coreschema,Core Schema.
pystache,pystache,Mustache for Python
flask-openid,Flask-OpenID,OpenID support for Flask
flask-oidc,flask-oidc,OpenID Connect extension for Flask
python-socketio,python-socketio,Socket.IO server and client for Python
python-engineio,python-engineio,Engine.IO server and client for Python
pastedeploy,PasteDeploy,"Load, configure, and compose WSGI applications and servers"
fake-useragent,fake-useragent,Up-to-date simple useragent faker with real world database
suds-jurko,suds-jurko,Lightweight SOAP client (Jurko's fork)
pymsteams,pymsteams,Format messages and post to Microsoft Teams.
cherrypy,CherryPy,Object-Oriented HTTP framework
jsonlines,jsonlines,Library with helpers for the jsonlines file format
pyramid-debugtoolbar,pyramid-debugtoolbar,A package which provides an interactive HTML debugger for Pyramid application development
ws4py,ws4py,WebSocket client and server library for Python 2 and 3 as well as PyPy
flask-migrate,Flask-Migrate,SQLAlchemy database migrations for Flask applications using Alembic.
cssutils,cssutils,A CSS Cascading Style Sheets library for Python
flask-socketio,Flask-SocketIO,Socket.IO integration for Flask applications
rfc3987,rfc3987,Parsing and validation of URIs (RFC 3986) and IRIs (RFC 3987)
flask-basicauth,Flask-BasicAuth,HTTP basic access authentication for Flask.
url-normalize,url-normalize,URL normalization for Python
python-memcached,python-memcached,Pure python memcached client
premailer,premailer,Turns CSS blocks into style attributes
gcs-oauth2-boto-plugin,gcs-oauth2-boto-plugin,Auth plugin allowing use the use of OAuth 2.0 credentials for Google Cloud Storage in the Boto library.
google-oauth,google-oauth,OAuth2 for Google APIs
google-reauth,google-reauth,Google Reauth Library
image,image,"Django application that provides cropping, resizing, thumbnailing, overlays and masking for images and videos with the ability to set the center of attention,"
jsmin,jsmin,JavaScript minifier.
scrapy-splash,scrapy-splash,JavaScript support for Scrapy using Splash
asana,asana,Asana
geocoder,geocoder,Geocoder is a simple and consistent geocoding library.
flask-httpauth,Flask-HTTPAuth,HTTP authentication for Flask routes
paste,Paste,Tools for using a Web Server Gateway Interface stack
flask-oauthlib,Flask-OAuthlib,OAuthlib for Flask
python-logstash,python-logstash,Python logging handler for Logstash.
pattern,pattern,pattern is a Python package offering a suite of plotting functions to visualize machine learning models and data. It provides intuitive and customizable plots to aid in model evaluation and data analysis.
python-mimeparse,python-mimeparse,A module provides basic functions for parsing mime-type names and matching them against a list of media-ranges.
pyftpdlib,pyftpdlib,Very fast asynchronous FTP server library
prance,prance,Resolving Swagger/OpenAPI 2.0 and 3.0.0 Parser
flask-marshmallow,flask-marshmallow,Flask + marshmallow for beautiful APIs
flask-script,Flask-Script,Scripting support for Flask
scrapy-sentry,scrapy-sentry,Sentry component for Scrapy
yattag,yattag,Generate HTML or XML in a pythonic way. Pure python alternative to web template engines.Can fill HTML forms with default values and error messages.
flask-testing,Flask-Testing,Unit testing for Flask
serverlessrepo,serverlessrepo,A Python library with convenience helpers for working with the AWS Serverless Application Repository.
flask-mail,Flask-Mail,Flask extension for sending email
django-compressor,django-compressor,"('Compresses linked and inline JavaScript or CSS into single cached files.',)"
pymisp,pymisp,Python API for MISP.
python3-logstash,python3-logstash,Python logging handler for Logstash.
gdbgui,gdbgui,"Browser-based frontend to gdb. Debug C, C++, Go, or Rust."
ipaddr,ipaddr,Google's IP address manipulation library
dnslib,dnslib,Simple library to encode/decode DNS wire-format packets
cheetah3,Cheetah3,Cheetah is a template engine and code generation tool
aiohttp-middlewares,aiohttp-middlewares,Collection of useful middlewares for aiohttp applications.
aiormq,aiormq,Pure python AMQP asynchronous client library
drf-nested-routers,drf-nested-routers,Nested resources for the Django Rest Framework
py-cord,py-cord,A Python wrapper for the Discord API
gdown,gdown,Google Drive Public File/Folder Downloader
libsass,libsass,Sass for Python: A straightforward binding of libsass for Python.
djangorestframework-jwt,djangorestframework-jwt,JSON Web Token based authentication for Django REST framework
shareplum,SharePlum,Python SharePoint Library
publicsuffixlist,publicsuffixlist,publicsuffixlist implement
rpyc,rpyc,Remote Python Call (RPyC) is a transparent and symmetric distributed computing library
gevent-websocket,gevent-websocket,"Websocket handler for the gevent pywsgi server, a Python network library"
distconfig,distconfig,"Library to manage configuration using Zookeeper, Etcd, Consul"
django-rest-swagger,django-rest-swagger,Swagger UI for Django REST Framework 3.5+
rollbar,rollbar,"Easy and powerful exception tracking with Rollbar. Send messages and exceptions with arbitrary context, get back aggregates, and debug production issues quickly."
args,args,Command Arguments for Humans.
grequests,grequests,Requests + Gevent
beaker,Beaker,A Session and Caching library with WSGI Middleware
josepy,josepy,JOSE protocol implementation in Python
django-formtools,django-formtools,A set of high-level abstractions for Django forms
fqdn,fqdn,"Validates fully-qualified domain names against RFC 1123, so that they are acceptable to modern bowsers"
iptools,iptools,Python utilites for manipulating IPv4 and IPv6 addresses
imapclient,IMAPClient,"Easy-to-use, Pythonic and complete IMAP client library"
pafy,pafy,Retrieve YouTube content and metadata
websocket,websocket,Websocket implementation for gevent
google-cloud-iam,google-cloud-iam,Google Cloud Iam API client library
fastapi-utils,fastapi-utils,Reusable utilities for FastAPI
django-silk,django-silk,Silky smooth profiling for the Django Framework
gcloud,gcloud,API Client library for Google Cloud
suds,suds,Lightweight SOAP client (community fork)
rauth,rauth,"A Python library for OAuth 1.0/a, 2.0, and Ofly."
requests-oauth,requests-oauth,Hook for adding Open Authentication support to Python-requests HTTP library.
google-compute-engine,google-compute-engine,Google Compute Engine
aioresponses,aioresponses,Mock out requests made by ClientSession from aiohttp package
django-localflavor,django-localflavor,Country-specific Django helpers
django-axes,django-axes,Keep track of failed login attempts in Django-powered sites.
cloudinary,cloudinary,Python and Django SDK for Cloudinary
port-for,port-for,Utility that helps with local TCP ports management. It can find an unused TCP localhost port and remember the association.
google-cloud-dns,google-cloud-dns,Google Cloud DNS API client library
acme,acme,ACME protocol implementation in Python
quart,Quart,A Python ASGI web framework with the same API as Flask
trafilatura,trafilatura,"Python & Command-line tool to gather text and metadata on the Web: Crawling, scraping, extraction, output as CSV, JSON, HTML, MD, TXT, XML."
google-cloud-billing,google-cloud-billing,Google Cloud Billing API client library
django-ckeditor,django-ckeditor,Django admin CKEditor integration.
sigmatools,sigmatools,Tools for the Generic Signature Format for SIEM Systems
publicsuffix2,publicsuffix2,Get a public suffix for a domain name using the Public Suffix List. Forked from and using the same API as the publicsuffix package.
jinja2-simple-tags,jinja2-simple-tags,Base classes for quick-and-easy template tag development
peppercorn,peppercorn,A library for converting a token stream into a data structure for use in web form posts
sanic-cors,Sanic-Cors,A Sanic extension adding a decorator for CORS support. Based on flask-cors by Cory Dolphin.
databases,databases,Async database support for Python.
routes,Routes,Routing Recognition and Generation Tools
webapp2,webapp2,Taking Google App Engine's webapp to the next level!
grpclib,grpclib,Pure-Python gRPC implementation for asyncio
google-cloud-dataproc-metastore,google-cloud-dataproc-metastore,Google Cloud Dataproc Metastore API client library
pytricia,pytricia,An efficient IP address storage and lookup module for Python.
webassets,webassets,"Media asset management for Python, with glue code for various web frameworks"
apiclient,apiclient,Framework for making good API client libraries using urllib3.
google-cloud-orchestration-airflow,google-cloud-orchestration-airflow,Google Cloud Orchestration Airflow API client library
pyfcm,pyfcm,"Python client for FCM - Firebase Cloud Messaging (Android, iOS and Web)"
demjson,demjson,"encoder, decoder, and lint/validator for JSON (JavaScript Object Notation) compliant with RFC 7159"
jwt,jwt,JSON Web Token library for Python 3.
coralogix-logger,coralogix-logger,Coralogix Python SDK
mleap,mleap,MLeap Python API
google-cloud-recaptcha-enterprise,google-cloud-recaptcha-enterprise,Google Cloud Recaptcha Enterprise API client library
tabulator,tabulator,Consistent interface for stream reading and writing tabular data (csv/xls/json/etc)
certbot,certbot,ACME client
google-cloud-ndb,google-cloud-ndb,NDB library for Google Cloud Datastore
django-autocomplete-light,django-autocomplete-light,Fresh autocompletes for Django
httpie,httpie,"HTTPie: modern, user-friendly command-line HTTP client for the API era."
pysolr,pysolr,Lightweight Python client for Apache Solr
django-user-agents,django-user-agents,"A django package that allows easy identification of visitors' browser, operating system and device information (mobile phone, tablet or has touch capabilities)."
aiohttp-session,aiohttp-session,sessions for aiohttp.web
google-cloud-scheduler,google-cloud-scheduler,Google Cloud Scheduler API client library
tableschema,tableschema,A utility library for working with Table Schema in Python
flask-api,Flask-API,Browsable web APIs for Flask.
sphinx-bootstrap-theme,sphinx-bootstrap-theme,Sphinx Bootstrap Theme.
flask-opentracing,Flask-OpenTracing,OpenTracing support for Flask applications
cloudml-hypertune,cloudml-hypertune,A library to report Google CloudML Engine HyperTune metrics.
ipy,IPy,Class and tools for handling of IPv4 and IPv6 addresses and networks
disnake,disnake,A Python wrapper for the Discord API
cityhash,cityhash,Python bindings for CityHash and FarmHash
drf-extensions,drf-extensions,Extensions for Django REST Framework
pygeocodio,pygeocodio,Python wrapper for Geocod.io API
rfc3339,rfc3339,Format dates according to the RFC 3339.
suds-community,suds-community,Lightweight SOAP client (community fork)
requests-async,requests-async,"Simple async HTTP client with requests-like interface, powered by httpx"
django-tables2,django-tables2,Table/data-grid framework for Django
fortnitepy,fortnitepy,Library for interacting with fortnite services
django-auth-ldap,django-auth-ldap,Django LDAP authentication backend
sqlmodel,sqlmodel,"SQLModel, SQL databases in Python, designed for simplicity, compatibility, and robustness."
mitmproxy,mitmproxy,"An interactive, SSL/TLS-capable intercepting proxy for HTTP/1, HTTP/2, and WebSockets."
google-cloud-dataplex,google-cloud-dataplex,Google Cloud Dataplex API client library
librato-metrics,librato-metrics,Python API Wrapper for Librato
discord-ui,discord-ui,A disord.py extension for discord's ui/interaction features
flask-principal,Flask-Principal,Identity management for flask
cpp-coveralls,cpp-coveralls,Upload gcov to coveralls.io
python-whois,python-whois,Whois querying and parsing of domain registration information.
paramiko-ng,paramiko-ng,SSH2 protocol library
django-cacheops,django-cacheops,A slick ORM cache with automatic granular event-driven invalidation for Django.
pywebpush,pywebpush,WebPush publication library
mechanize,mechanize,"Stateful, programmatic web browsing"
flask-oidc-ext,flask-oidc-ext,OpenID Connect extension for Flask
pytgcalls,pytgcalls,a library connecting the tgcalls Python binding with MTProto
circleci,circleci,Python wrapper for the CircleCI API
draftjs-exporter,draftjs-exporter,Library to convert rich text from Draft.js raw ContentState to HTML
sorl-thumbnail,sorl-thumbnail,Thumbnails for Django
django-admin-sortable2,django-admin-sortable2,"Generic drag-and-drop sorting for the List, the Stacked- and the Tabular-Inlines Views in the Django Admin"
relevanceai-dev,RelevanceAI-dev,"![Github Banner](assets/github_banner.png)

## Relevance AI - The ML Platform for Unstructured Data Analysis 
[![Documentation Status](https://readthedocs.org/projects/relevanceai/badge/?version=latest)](https://relevanceai.readthedocs.io/en/latest/?badge=latest)
[![License](https://img.shields.io/pypi/l/relevanceai)](https://img.shields.io/pypi/l/relevanceai)

🌎 80% of data in the world is unstructured in the form of text, image, audio, videos, and more.

🔥 Use Relevance to unlock the value of your unstructured data:
- ⚡ Quickly analyze unstructured data with pre-trained machine learning models in a few lines of code.
- ✨ Visualize your unstructured data. Text highlights from Named entity recognition, Word cloud from keywords, Bounding box from images.
- 📊 Create charts for both structured and unstructured.
- 🔎 Drilldown with filters and similarity search to explore and find insights.
- 🚀 Share data apps with your team.

[Sign up for a free account ->](https://hubs.ly/Q017CkXK0)

Relevance AI also acts as a platform for:
- 🔑 Vectors, storing and querying vectors with flexible vector similarity search, that can be combined with multiple vectors, aggregates and filters.
- 🔮 ML Dataset Evaluation, for debugging dataset labels, model outputs and surfacing edge cases.


## 🧠 Documentation

| Type      | Link |
| ------------- | ----------- |
| Python API | [Documentation](https://sdk.tryrelevance.com/) |
| Python Reference | [Documentation](https://relevanceai.readthedocs.io/en/latest/)        |
| Cloud Dashboard | [Documentation](https://docs.tryrelevance.com/) |

## 🛠️ Installation

Using pip:

```{bash}
pip install -U relevanceai
```
Using conda:

```{bash}
conda install -c relevance relevanceai
```

## ⏩ Quickstart
[![Open In Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/RelevanceAI/RelevanceAI/blob/development/guides/quickstart_guide.ipynb)

Login to `relevanceai`:
```{python}
from relevanceai import Client

client = Client()
```

Prepare your documents for insertion by following the below format:
- Each document should be a dictionary
- Include a field `_id` as a primary key, otherwise it's automatically generated
- Suffix vector fields with `_vector_`

```{python}
docs = [
    {""_id"": ""1"", ""example_vector_"": [0.1, 0.1, 0.1], ""data"": ""Documentation""},
    {""_id"": ""2"", ""example_vector_"": [0.2, 0.2, 0.2], ""data"": ""Best document!""},
    {""_id"": ""3"", ""example_vector_"": [0.3, 0.3, 0.3], ""data"": ""document example""},
    {""_id"": ""4"", ""example_vector_"": [0.4, 0.4, 0.4], ""data"": ""this is another doc""},
    {""_id"": ""5"", ""example_vector_"": [0.5, 0.5, 0.5], ""data"": ""this is a doc""},
]
```

### Insert data into a dataset

Create a dataset object with the name of the dataset you'd like to use. If it doesn't exist, it'll be created for you.

```{python}
ds = client.Dataset(""quickstart"")
ds.insert_documents(docs)
```
> Quick tip! Our Dataset object is compatible with common dataframes methods like `.head()`, `.shape()` and `.info()`.

### Perform vector search

```{python}
query = [
    {""vector"": [0.2, 0.2, 0.2], ""field"": ""example_vector_""}
]
results = ds.search(
    vector_search_query=query,
    page_size=3,
)
```
[Learn more about how to flexibly configure your vector search ->](https://sdk.tryrelevance.com/docs/search)

### Perform clustering

Generate clusters
```{python}
clusterop = ds.cluster(vector_fields=[""example_vector_""])
clusterop.list_closest()
```

Generate clusters with sklearn
```{python}
from sklearn.cluster import AgglomerativeClustering

cluster_model = AgglomerativeClustering()
clusterop = ds.cluster(vector_fields=[""example_vector_""], model=cluster_model, alias=""agglomerative"")
clusterop.list_closest()
```
[Learn more about how to flexibly configure your clustering ->](https://sdk.tryrelevance.com/docs/search)

## 🧰 Config

The config object contains the adjustable global settings for the SDK. For a description of all the settings, see [here](https://github.com/RelevanceAI/RelevanceAI/blob/development/relevanceai/constants/config.ini).

To view setting options, run the following:

```{python}
client.config.options
```

The syntax for selecting an option is section.key. For example, to disable logging, run the following to modify logging.enable_logging:

```{python}
client.config.set_option('logging.enable_logging', False)
```

To restore all options to their default, run the following:

### Changing the base URL

You can change the base URL as such:

```{python}
client.base_url = ""https://.../latest""
```

## 🚧 Development

### Getting Started
To get started with development, ensure you have pytest and mypy installed. These will help ensure typechecking and testing.

```{bash}
python -m pip install pytest mypy
```

Then run testing using:

> Don't forget to set your test credentials!

```{bash}
export TEST_PROJECT = xxx
export TEST_API_KEY = xxx

python -m pytest
mypy relevanceai
```

Set up precommit

```{bash}
pip install precommit
pre-commit install
```"
pusher,pusher,A Python library to interract with the Pusher Channels API
backoff-stubs,backoff-stubs,External type annotations for the backoff library
python-twitter,python-twitter,A Python wrapper around the Twitter API
flask-bootstrap,Flask-Bootstrap,"An extension that includes Bootstrap in your project, without any boilerplate code."
uri,uri,"A type to represent, query, and manipulate a Uniform Resource Identifier."
tgcalls,tgcalls,a Python binding for tgcalls C++ library
aiohttp-jinja2,aiohttp-jinja2,jinja2 template renderer for aiohttp.web (http server for asyncio)
django-admin-autocomplete-filter,django-admin-autocomplete-filter,A simple Django app to render list filters in django admin using autocomplete widget
flask-assets,Flask-Assets,"Asset management for Flask, to compress and merge CSS and Javascript files."
pyfunceble-dev,PyFunceble-dev,"The tool to check the availability or syntax of domain, IP or URL."
twython,twython,"Actively maintained, pure Python wrapper for the Twitter API. Supports both normal and streaming Twitter APIs"
user-agent,user-agent,Library to build content for User-Agent HTTP header
flask-debugtoolbar,Flask-DebugToolbar,A toolbar overlay for debugging Flask applications.
django-classy-tags,django-classy-tags,Class based template tags for Django
drf-jwt,drf-jwt,JSON Web Token based authentication for Django REST framework
tendo,tendo,A Python library that extends some core functionality
fredapi,fredapi,Python API for Federal Reserve Economic Data (FRED) from St. Louis Fed
